Category,Name,Location ,Justification,MLA Decision,Best Contact,Notes
ACCELERATORS & INCUBATORS,The Waite Campus (University of Adelaide),Australia,Largest agrifood hub in Southern Hemisphere. ThincLab startup community.,,Zrinka Tokic - ThincLab Director (zrinka.tokic@adelaide.edu.au) OR General: thinclab@adelaide.edu.au,
ACCELERATORS & INCUBATORS,National Reconstruction Fund Corporation (NRFC),Australia,Federal fund providing debt equity guarantees to agriculture food processing advanced manufacturing.,,Contact Form: www.nrf.gov.au/contact-us OR FOI: foi@nrf.gov.au OR Policy: NRF.Policy@industry.gov.au,
ACCELERATORS & INCUBATORS,AgriFutures GrowAg,Australia,Government-backed platform connecting agtech innovators researchers investors. 80000+ users.,,David Lord or Rebecca Bradford (connect@growag.com) Phone: +61 2 6923 6936 / 6957,
ACCELERATORS & INCUBATORS,Food Innovation Precinct Western Australia (FIPWA),Australia,State-of-the-art food manufacturing and R&D facility. Focus on extended shelf life technologies.,,General Inquiries (info@fipwa.com.au),
UNIVERSITIES,Victoria University - Sustainable Packaging Research Group,Australia,Leading research in bio-packaging materials from agricultural wastes. Directly addresses Challenge A.,,Professor Vincent Rouillard - Leader (vincent.rouillard@vu.edu.au) OR Dr Marlene Cran - Deputy Leader (marlene.cran@vu.edu.au) OR General: isilc@vu.edu.au,
UNIVERSITIES,RMIT University - Food Research and Innovation Centre,Australia,Multimillion-dollar facility for food processing product development nutrition packaging design.,,Professor Harsharn Gill - Food and Health Biosciences (harsharn.gill@rmit.edu.au) Phone: +61 3 9925 2600,
UNIVERSITIES,Monash University - Food Innovation Centre,Australia,World-class R&D for food science dairy processing biotechnology. Partnership with FIAL.,,General Inquiries (contact@foodinnovationcentre.com.au) Phone: +61 477 371 949,
UNIVERSITIES,Monash University - Commercialisation Office,Australia,Manages IP protection licensing commercialization of food science materials science biotechnology research.,,Monash Innovation (Innovation@monash.edu),
UNIVERSITIES,University of Melbourne - Food & Packaging Innovation Program,Australia,World's only dedicated Food & Packaging Innovation Master's program. Direct relevance to Challenge A and C.,,Samantha Fossey (samantha.fossey@unimelb.edu.au) Phone: +61 3 9035 5511,
UNIVERSITIES,University of Melbourne - Commercialisation Office,Australia,Manages IP and commercialization for food science and materials innovations.,,Ken Jefferd - Executive Director Research Innovation & Commercialisation (k.jefferd@unimelb.edu.au) OR Contact: https://research.unimelb.edu.au/commercialisation/contact,
UNIVERSITIES,Deakin University - CASS Food Research Centre,Australia,Consumer Analytical Safety Sensory Food Research Centre. Specializes in food innovation sensory analysis.,,General Inquiries (cass@deakin.edu.au) OR Pauline Braniff (pauline.braniff@deakin.edu.au),
UNIVERSITIES,Deakin University - BioFactory,Australia,Transforms biomass and biosolid waste into biomaterials. Direct relevance to Challenge A.,,Professor Colin Barrow - Lead Researcher (colin.barrow@deakin.edu.au),
UNIVERSITIES,La Trobe University - LISAF,Australia,Paddock to gut' approach integrating agriculture food innovation nutrition health.,,Professor Chris Pakes - Deputy VC Research (c.pakes@latrobe.edu.au) Phone: 1300 LA TROBE (1300 528 762),
UNIVERSITIES,La Trobe University - Bio Innovation Hub,Australia,Purpose-built facility for biotechnology commercialization. Laboratory facilities for early-stage biotech.,,Megan Fisher - Pro VC Industry Engagement OR Sid Jain - Director Precinct Development (industry.engagement@latrobe.edu.au) Phone: +61 9479 2070 / +61 408 764 036,
UNIVERSITIES,UNSW Sydney - Food Science & Technology Programs,Australia,Only Australian program recognized by US Institute of Food Technologists. Comprehensive food science expertise.,,Contact Form: www.unsw.edu.au/science/about-us/contact-us (School of Chemical Engineering),
UNIVERSITIES,UNSW Sydney - Knowledge Exchange & Commercialisation,Australia,Manages research commercialization IP protection industry partnerships.,,General Inquiries (knowledgeexchange@unsw.edu.au),
UNIVERSITIES,UNSW Founders Program,Australia,Comprehensive entrepreneurship program for commercializing university research and startups.,,General Inquiries (unsw.founders@unsw.edu.au) OR Foundations Program (founders.foundations@unsw.edu.au),
UNIVERSITIES,University of Sydney - Commercialisation Office,Australia,Manages IP and commercialization for food science materials science innovations.,,General Inquiries (commercialisation@sydney.edu.au),
UNIVERSITIES,University of Sydney - Centre for Advanced Materials Technology,Australia,Expertise in materials characterisation polymer-based materials biomaterials. Direct relevance to Challenge A.,,School of AMME (amme.ea@sydney.edu.au) OR Industry: engineering.external@sydney.edu.au Phone: +61 2 9351 2341,
UNIVERSITIES,University of Newcastle - Food Science Research Group,Australia,Combines food plant science nutrition agribusiness research. Industry-focused.,,Professor Chris Grof (chris.grof@newcastle.edu.au) Phone: +61 2 4921 5858 OR General: Science-IT-SELS@newcastle.edu.au,
UNIVERSITIES,University of Wollongong - Australian Institute for Innovative Materials (AIIM),Australia,World-leading multi-functional materials research including bio-based materials polymer research.,,General Inquiries - Phone: +61 2 4221 3271 OR Visit: www.uow.edu.au/research-and-innovation/our-research/research-institutes-and-facilities/australian-institute-for-innovative-materials/contact-us/,
UNIVERSITIES,University of Wollongong - Innovation & Commercial Research Office,Australia,Manages commercialization of materials science and engineering research.,,George Tomka - Senior Manager (george_tomka@uow.edu.au) OR General: research-services@uow.edu.au Phone: +61 2 4221 8145,
UNIVERSITIES,University of Adelaide - Food Science & Innovation,Australia,Research in functional food development food processing technologies sustainable food sources.,,Professor Andrew Lowe - Director Food Innovation (andrew.lowe@adelaide.edu.au) OR General: foodlab@adelaide.edu.au,
UNIVERSITIES,University of Adelaide - Innovation & Commercialisation Services,Australia,Handles IP protection commercialization advice for food science and agricultural innovations.,,Commercialisation Team (commercialisation@adelaide.edu.au) OR Business Development (businessdevelopment@adelaide.edu.au) Phone: +61 8 8313 4403,
UNIVERSITIES,University of Adelaide - Food Product Development Group,Australia,Provides ingredient development product development sensory testing shelf-life testing.,,School of Agriculture Food & Wine (afw@adelaide.edu.au) OR Food Innovation Lab (foodlab@adelaide.edu.au) Phone: +61 8 8313 2699,
UNIVERSITIES,Curtin University - Food Science and Technology Programs,Australia,Master of Science (Food Science and Technology) biotechnology programs. Research in food security.,,General Inquiries - Phone: 1300 222 888 OR Contact Form on website,
UNIVERSITIES,Australian National University (ANU) - Office of Business Engagement & Commercialisation,Australia,Manages commercialization of research including biotechnology food science materials science.,,Innovation Team (innovation@anu.edu.au),
UNIVERSITIES,ANU - Materials Science Program,Australia,Master of Science in Materials Science focusing on biodegradable plastics biocompatible materials.,,College of Science Student Admin (science.enquiries@anu.edu.au),
UNIVERSITIES,ANU - Biotechnology Programs,Australia,Biotechnology programs focused on food security agriculture food production innovations.,,College of Science Student Admin (science.enquiries@anu.edu.au) OR General ANU Research: innovation@anu.edu.au,
UNIVERSITIES,University of Tasmania - Tasmanian Institute of Agriculture (TIA),Australia,Focus on food safety and innovation agricultural productivity food product development. 15+ research sites.,,General Inquiries (tia.enquiries@utas.edu.au) Phone: +61 3 6226 2463,
UNIVERSITIES,University of Tasmania - Centre for Food Innovation (CFI),Australia,Partnership between UTAS and Defence Science and Technology. Focus on shelf-stable foods specialized nutrition.,,Professor John Bowman - Centre Leader (John.Bowman@utas.edu.au) Phone: +61 3 6226 6380,
UNIVERSITIES,Queensland Alliance for Agriculture and Food Innovation (QAAFI),Australia,UQ research institute with expertise in food science animal science nutrition. 15 research sites across Queensland.,,General Inquiries (qaafi@uq.edu.au) Phone: +61 7 3346 0550 OR Business Development: Oliver Frith +61 439 771 373 OR Media: Natalie MacGregor (qaaficomms@uq.edu.au) +61 409 135 651,
INDUSTRY ASSOCIATIONS,Australian Meat Industry Council (AMIC),Australia,Represents 1500+ post-farmgate meat processors retailers smallgoods manufacturers.,,General Inquiries (info@amic.org.au) OR Media: Jemma Harper (media@amic.org.au) Phone: 02 9086 2200,
INDUSTRY ASSOCIATIONS,Australian Meat Processor Corporation (AMPC),Australia,Specializes in innovation and R&D for red meat processing. Running innovation challenges.,,General Inquiries (admin@ampc.com.au) OR Communications (communications@ampc.com.au),
INDUSTRY ASSOCIATIONS,Food Innovation Australia Limited (FIAL),Australia,Not-for-profit focused on growing Australian food globally. Innovation support R&D connections.,,Rod Adenas (Rod.adenas@fial.com.au) OR Contact via website: www.fial.com.au,
INDUSTRY ASSOCIATIONS,Australian Packaging Covenant Organisation (APCO),Australia,Leading circular economy development for packaging. 2300+ member organizations.,,General Inquiries (apco@apco.org.au),
INDUSTRY ASSOCIATIONS,Australian Institute of Packaging (AIP),Australia,Peak professional body for packaging training. Runs packaging innovation forums.,,General Inquiries (info@aipack.com.au) Phone: 07 3278 4490,
INDUSTRY ASSOCIATIONS,Circular Australia,Australia,Leading Australia's transition to circular economy by 2035. Industry taskforces on packaging materials.,,Contact Form: https://circularaustralia.com.au/contact-us/,
INDUSTRY ASSOCIATIONS,Australian Institute of Food Science and Technology (AIFST),Australia,Peak professional body for food industry. 2000+ members across industry academia government.,,General Inquiries (aifst@aifst.com.au) Phone: +61 447 066 324,
INDUSTRY ASSOCIATIONS,AusBiotech,Australia,Peak biotechnology industry body. 3000+ members. Hosts AusAg & Foodtech Summit.,,General Contact (admin@ausbiotech.org) OR Membership (membership@ausbiotech.org) OR Media: Emma Boscheinen (eboscheinen@ausbiotech.org),
INDUSTRY ASSOCIATIONS,Materials Australia,Australia,Peak body for Australian materials scientists and engineers. National organization with state branches.,,General Inquiries (imea@materialsaustralia.com.au) Phone: +61 3 9326 7266,
INDUSTRY ASSOCIATIONS,Australian Materials Research Society (AMRS),Australia,Umbrella body connecting materials science researchers across Australia.,,Professor Jim Williams - President (Jim.Williams@anu.edu.au) OR General: Meaghan Dzundza (ia@science.org.au),
INDUSTRY ASSOCIATIONS,Cellular Agriculture Australia (CAA),Australia,Peak body for food biotechnology and biomanufacturing. Published white paper with ANU.,,Regulatory Inquiries (regulation@cellagaustralia) OR Website: www.cellularagricultureaustralia.org,
INDUSTRY ASSOCIATIONS,Food Innovation Partners,Australia,Connects food companies with research investors government. 35+ years food industry experience.,,Russel (russel@food-innovation.com.au) Phone: 0411 178 227,
INDUSTRY ASSOCIATIONS,Australian Circular Economy Hub (Planet Ark),Australia,Federal Government-supported hub facilitating knowledge sharing for circular economy transition.,,Kristie (kristie@planetark.org) for corporate partnerships,
INDUSTRY ASSOCIATIONS,SIFT Centre (Sustainable Innovative Food Technologies),Australia,State-of-the-art WA facility. HPP and novel processing technologies.,,Contact Form: https://sift.au/contact/ (operated by Future Food Systems CRC + Murdoch University),
INDUSTRY ASSOCIATIONS,Wholesale Food Group,Australia,27+ years experience in food product development contract manufacturing R&D.,,Sales Team (sales@wholesalefoodgroup.com.au) Phone: (07) 5594 0444,
INDUSTRY ASSOCIATIONS,Australian Food Innovation Network (AFIN),Australia,National community bringing together industry universities researchers. Shelf Stable Food Program.,,Dr Ingrid Appelqvist - Research Group Leader (ingrid.appelqvist@csiro.au) OR Website: research.csiro.au/food-innovation/afin/,
