Category,Name,Location ,Justification,MLA Decision,Email Address,Best Contact,Notes
ACCELERATORS & INCUBATORS,SparkLabs Cultiv8,Australia,Leading agri-food tech accelerator partnering with MLA. Relevant to all challenges.,Yes,jonathon@sparklabscultiv8.com,Jonathon Quigley - Co-Founder & Partner (jonathon@sparklabscultiv8.com) OR Contact Form: https://www.sparklabscultiv8.com/contact-us,
UNIVERSITIES,Deakin University - CASS Food Research Centre,Australia,Consumer Analytical Safety Sensory Food Research Centre. Specializes in food innovation sensory analysis.,,,cass@deakin.edu.au, pauline.braniff@deakin.edu.au,General Inquiries (cass@deakin.edu.au) OR Pauline Braniff (pauline.braniff@deakin.edu.au),
UNIVERSITIES,Deakin University - BioFactory,Australia,Transforms biomass and biosolid waste into biomaterials. Direct relevance to Challenge A.,,,colin.barrow@deakin.edu.au,Professor Colin Barrow - Lead Researcher (colin.barrow@deakin.edu.au),
UNIVERSITIES,La Trobe University - LISAF,Australia,Paddock to gut' approach integrating agriculture food innovation nutrition health.,,,c.pakes@latrobe.edu.au,Professor Chris Pakes - Deputy VC Research (c.pakes@latrobe.edu.au) Phone: 1300 LA TROBE (1300 528 762),
UNIVERSITIES,La Trobe University - Bio Innovation Hub,Australia,Purpose-built facility for biotechnology commercialization. Laboratory facilities for early-stage biotech.,,,industry.engagement@latrobe.edu.au,Megan Fisher - Pro VC Industry Engagement OR Sid Jain - Director Precinct Development (industry.engagement@latrobe.edu.au) Phone: +61 9479 2070 / +61 408 764 036,
UNIVERSITIES,UNSW Sydney - Food Science & Technology Programs,Australia,Only Australian program recognized by US Institute of Food Technologists. Comprehensive food science expertise.,,,contact@unsw.edu.au,Contact Form: www.unsw.edu.au/science/about-us/contact-us (School of Chemical Engineering),
UNIVERSITIES,UNSW Sydney - Knowledge Exchange & Commercialisation,Australia,Manages research commercialization IP protection industry partnerships.,,,knowledgeexchange@unsw.edu.au,General Inquiries (knowledgeexchange@unsw.edu.au),
UNIVERSITIES,UNSW Founders Program,Australia,Comprehensive entrepreneurship program for commercializing university research and startups.,,,unsw.founders@unsw.edu.au, founders.foundations@unsw.edu.au,General Inquiries (unsw.founders@unsw.edu.au) OR Foundations Program (founders.foundations@unsw.edu.au),
UNIVERSITIES,University of Sydney - Commercialisation Office,Australia,Manages IP and commercialization for food science materials science innovations.,,,commercialisation@sydney.edu.au,General Inquiries (commercialisation@sydney.edu.au),
UNIVERSITIES,University of Sydney - Centre for Advanced Materials Technology,Australia,Expertise in materials characterisation polymer-based materials biomaterials. Direct relevance to Challenge A.,,,amme.ea@sydney.edu.au, engineering.external@sydney.edu.au,School of AMME (amme.ea@sydney.edu.au) OR Industry: engineering.external@sydney.edu.au Phone: +61 2 9351 2341,
UNIVERSITIES,University of Newcastle - Food Science Research Group,Australia,Combines food plant science nutrition agribusiness research. Industry-focused.,,,chris.grof@newcastle.edu.au, Science-IT-SELS@newcastle.edu.au,Professor Chris Grof (chris.grof@newcastle.edu.au) Phone: +61 2 4921 5858 OR General: Science-IT-SELS@newcastle.edu.au,
UNIVERSITIES,University of Wollongong - Australian Institute for Innovative Materials (AIIM),Australia,World-leading multi-functional materials research including bio-based materials polymer research.,,,contact@uow.edu.au,General Inquiries - Phone: +61 2 4221 3271 OR Visit: www.uow.edu.au/research-and-innovation/our-research/research-institutes-and-facilities/australian-institute-for-innovative-materials/contact-us/,
UNIVERSITIES,University of Wollongong - Innovation & Commercial Research Office,Australia,Manages commercialization of materials science and engineering research.,,,george_tomka@uow.edu.au, research-services@uow.edu.au,George Tomka - Senior Manager (george_tomka@uow.edu.au) OR General: research-services@uow.edu.au Phone: +61 2 4221 8145,
UNIVERSITIES,University of Adelaide - Food Science & Innovation,Australia,Research in functional food development food processing technologies sustainable food sources.,,,andrew.lowe@adelaide.edu.au, foodlab@adelaide.edu.au,Professor Andrew Lowe - Director Food Innovation (andrew.lowe@adelaide.edu.au) OR General: foodlab@adelaide.edu.au,
UNIVERSITIES,University of Adelaide - Innovation & Commercialisation Services,Australia,Handles IP protection commercialization advice for food science and agricultural innovations.,,,commercialisation@adelaide.edu.au, businessdevelopment@adelaide.edu.au,Commercialisation Team (commercialisation@adelaide.edu.au) OR Business Development (businessdevelopment@adelaide.edu.au) Phone: +61 8 8313 4403,
UNIVERSITIES,University of Adelaide - Food Product Development Group,Australia,Provides ingredient development product development sensory testing shelf-life testing.,,,afw@adelaide.edu.au, foodlab@adelaide.edu.au,School of Agriculture Food & Wine (afw@adelaide.edu.au) OR Food Innovation Lab (foodlab@adelaide.edu.au) Phone: +61 8 8313 2699,
UNIVERSITIES,Curtin University - Food Science and Technology Programs,Australia,Master of Science (Food Science and Technology) biotechnology programs. Research in food security.,,,enquiries@curtin.edu.au,General Inquiries - Phone: 1300 222 888 OR Contact Form on website,
UNIVERSITIES,Australian National University (ANU) - Office of Business Engagement & Commercialisation,Australia,Manages commercialization of research including biotechnology food science materials science.,,,innovation@anu.edu.au,Innovation Team (innovation@anu.edu.au),
UNIVERSITIES,ANU - Materials Science Program,Australia,Master of Science in Materials Science focusing on biodegradable plastics biocompatible materials.,,,science.enquiries@anu.edu.au,College of Science Student Admin (science.enquiries@anu.edu.au),
UNIVERSITIES,ANU - Biotechnology Programs,Australia,Biotechnology programs focused on food security agriculture food production innovations.,,,science.enquiries@anu.edu.au, innovation@anu.edu.au,College of Science Student Admin (science.enquiries@anu.edu.au) OR General ANU Research: innovation@anu.edu.au,
UNIVERSITIES,University of Tasmania - Tasmanian Institute of Agriculture (TIA),Australia,Focus on food safety and innovation agricultural productivity food product development. 15+ research sites.,,,tia.enquiries@utas.edu.au,General Inquiries (tia.enquiries@utas.edu.au) Phone: +61 3 6226 2463,
UNIVERSITIES,University of Tasmania - Centre for Food Innovation (CFI),Australia,Partnership between UTAS and Defence Science and Technology. Focus on shelf-stable foods specialized nutrition.,,,John.Bowman@utas.edu.au,Professor John Bowman - Centre Leader (John.Bowman@utas.edu.au) Phone: +61 3 6226 6380,
UNIVERSITIES,Queensland Alliance for Agriculture and Food Innovation (QAAFI),Australia,UQ research institute with expertise in food science animal science nutrition. 15 research sites across Queensland.,,,qaafi@uq.edu.au, qaaficomms@uq.edu.au,General Inquiries (qaafi@uq.edu.au) Phone: +61 7 3346 0550 OR Business Development: Oliver Frith +61 439 771 373 OR Media: Natalie MacGregor (qaaficomms@uq.edu.au) +61 409 135 651,
INDUSTRY ASSOCIATIONS,Australian Meat Industry Council (AMIC),Australia,Represents 1500+ post-farmgate meat processors retailers smallgoods manufacturers.,,,info@amic.org.au, media@amic.org.au,General Inquiries (info@amic.org.au) OR Media: Jemma Harper (media@amic.org.au) Phone: 02 9086 2200,
INDUSTRY ASSOCIATIONS,Australian Meat Processor Corporation (AMPC),Australia,Specializes in innovation and R&D for red meat processing. Running innovation challenges.,,,admin@ampc.com.au, communications@ampc.com.au,General Inquiries (admin@ampc.com.au) OR Communications (communications@ampc.com.au),
INDUSTRY ASSOCIATIONS,Food Innovation Australia Limited (FIAL),Australia,Not-for-profit focused on growing Australian food globally. Innovation support R&D connections.,,,Rod.adenas@fial.com.au,Rod Adenas (Rod.adenas@fial.com.au) OR Contact via website: www.fial.com.au,
INDUSTRY ASSOCIATIONS,Australian Packaging Covenant Organisation (APCO),Australia,Leading circular economy development for packaging. 2300+ member organizations.,,,apco@apco.org.au,General Inquiries (apco@apco.org.au),
INDUSTRY ASSOCIATIONS,Australian Institute of Packaging (AIP),Australia,Peak professional body for packaging training. Runs packaging innovation forums.,,,info@aipack.com.au,General Inquiries (info@aipack.com.au) Phone: 07 3278 4490,
INDUSTRY ASSOCIATIONS,Circular Australia,Australia,Leading Australia's transition to circular economy by 2035. Industry taskforces on packaging materials.,,,contact@circularaustralia.com.au,Contact Form: https://circularaustralia.com.au/contact-us/,
INDUSTRY ASSOCIATIONS,Australian Institute of Food Science and Technology (AIFST),Australia,Peak professional body for food industry. 2000+ members across industry academia government.,,,aifst@aifst.com.au,General Inquiries (aifst@aifst.com.au) Phone: +61 447 066 324,
INDUSTRY ASSOCIATIONS,AusBiotech,Australia,Peak biotechnology industry body. 3000+ members. Hosts AusAg & Foodtech Summit.,,,admin@ausbiotech.org, membership@ausbiotech.org, eboscheinen@ausbiotech.org,General Contact (admin@ausbiotech.org) OR Membership (membership@ausbiotech.org) OR Media: Emma Boscheinen (eboscheinen@ausbiotech.org),
INDUSTRY ASSOCIATIONS,Materials Australia,Australia,Peak body for Australian materials scientists and engineers. National organization with state branches.,,,imea@materialsaustralia.com.au,General Inquiries (imea@materialsaustralia.com.au) Phone: +61 3 9326 7266,
INDUSTRY ASSOCIATIONS,Australian Materials Research Society (AMRS),Australia,Umbrella body connecting materials science researchers across Australia.,,,Jim.Williams@anu.edu.au, ia@science.org.au,Professor Jim Williams - President (Jim.Williams@anu.edu.au) OR General: Meaghan Dzundza (ia@science.org.au),
INDUSTRY ASSOCIATIONS,Cellular Agriculture Australia (CAA),Australia,Peak body for food biotechnology and biomanufacturing. Published white paper with ANU.,,,regulation@cellagaustralia.org,Regulatory Inquiries (regulation@cellagaustralia) OR Website: www.cellularagricultureaustralia.org,
INDUSTRY ASSOCIATIONS,Food Innovation Partners,Australia,Connects food companies with research investors government. 35+ years food industry experience.,,,russel@food-innovation.com.au,Russel (russel@food-innovation.com.au) Phone: 0411 178 227,
INDUSTRY ASSOCIATIONS,Australian Circular Economy Hub (Planet Ark),Australia,Federal Government-supported hub facilitating knowledge sharing for circular economy transition.,,,kristie@planetark.org,Kristie (kristie@planetark.org) for corporate partnerships,
INDUSTRY ASSOCIATIONS,SIFT Centre (Sustainable Innovative Food Technologies),Australia,State-of-the-art WA facility. HPP and novel processing technologies.,,,info@sift.au,Contact Form: https://sift.au/contact/ (operated by Future Food Systems CRC + Murdoch University),
INDUSTRY ASSOCIATIONS,Wholesale Food Group,Australia,27+ years experience in food product development contract manufacturing R&D.,,,sales@wholesalefoodgroup.com.au,Sales Team (sales@wholesalefoodgroup.com.au) Phone: (07) 5594 0444,
INDUSTRY ASSOCIATIONS,Australian Food Innovation Network (AFIN),Australia,National community bringing together industry universities researchers. Shelf Stable Food Program.,,,ingrid.appelqvist@csiro.au,Dr Ingrid Appelqvist - Research Group Leader (ingrid.appelqvist@csiro.au) OR Website: research.csiro.au/food-innovation/afin/,
ACCELERATORS & INCUBATORS,Plug and Play Food & Beverage,USA (Silicon Valley),"Stage-agnostic 12-week food innovation platform connecting startups with 500+ corporate partners. Focus areas include personalized nutrition, functional foods, protein alternatives, packaging innovation, and waste reduction. Directly relevant to all three challenges.",,,investment@plugandplaytechcenter.com,General Inquiries (investment@plugandplaytechcenter.com) Phone: (408) 524-1400,Global presence with 50+ locations. Corporate partners include Tetra Pak and DuPont Nutrition & Biosciences.
ACCELERATORS & INCUBATORS,IndieBio (SOSV),USA (San Francisco & New York),"World's #1 early-stage biotech accelerator supporting food biotechnology, agriculture innovation, and alternative proteins. Portfolio includes cultivated protein, functional foods, and novel processing technologies. Relevant to Challenges B and C.",,,contact@indiebio.co,Contact Form: https://indiebio.co/contact/,"Part of SOSV ecosystem. Notable portfolio: NotCo, Upside Foods, Perfect Day. Principal & Program Director: Westley Dang (LinkedIn searchable)"
ACCELERATORS & INCUBATORS,Techstars Farm to Fork,USA (Twin Cities),"Partnership with Ecolab accelerating digital innovation across food and ag supply chain. Focus on sustainability, food safety, and supply chain optimization. Relevant to shelf-life technologies and packaging (Challenge A and B).",,,brett@breadandbutterventures.com,Brett Brohl - Managing Director (LinkedIn: linkedin.com/in/brettbrohl),12-week program selecting 10-12 startups annually. Also founder of The Syndicate Fund.
ACCELERATORS & INCUBATORS,Big Idea Ventures,USA/Singapore/Paris,"Leading alternative protein investor. New Protein Fund invests $200K ($125K cash + $75K in-kind) in alternative protein and ingredients companies. Focus on functional foods, novel proteins, and food innovation. Directly relevant to Challenge C.",,,shruti.salkar@bigideadventures.com, andrew.ive@gmail.com,Andrew D. Ive - Founder & Managing General Partner (LinkedIn searchable) OR Media: shruti.salkar@bigideadventures.com,Twice-yearly cohorts. Backed by Bühler & Tyson. Three global locations.
ACCELERATORS & INCUBATORS,Yield Lab Institute,USA (St. Louis),"Non-profit dedicated to agrifood systems innovation. Launched H.A.R.V.E.S.T. AgTech platform in 2025 with 12 U.S. regional ecosystems + international reach (Argentina, Brazil, Israel, UK). Focus on food preservation, supply chain, packaging.",,,kyle@theyieldlab.com,Stephanie Regagnon - Executive Director (LinkedIn: linkedin.com/in/stephregagnon) OR kyle@theyieldlab.com,"Contact: 1100 Corporate Square Drive, Suite 212, St. Louis, MO 63132. www.harvestagtech.org"
ACCELERATORS & INCUBATORS,Radicle Growth,USA (San Diego) with Canada partnerships,"AgTech/FoodTech venture capital and accelerator. Nutrien-Radicle Challenge Canada supports Canadian innovation. Focus on supply chain optimization, food waste reduction, and sustainable agriculture technologies.",,,khaney@radicle.vc, ddougan@radicle.vc,Kirk Haney - Managing Partner (khaney@radicle.vc) OR Danielle Dougan (ddougan@radicle.vc) Phone: 978-430-9680,Partnerships with AVAC and Verdex Capital in Canada. $1.25M investment program for growth and seed-stage companies.
ACCELERATORS & INCUBATORS,Creative Destruction Lab (CDL) - AgriFood,Canada (Toronto/Calgary/Vancouver),"Canada's premier seed-stage accelerator with dedicated AgriFood stream. Connects startups with mentors, investors, and corporate partners across the ag value chain. Focus on scalable solutions from farm to consumer.",,,dora.tamas@creativedestructionlab.com, heather.marshall@creativedestructionlab.com,Dora Tamas - AgriFood Stream Manager (dora.tamas@creativedestructionlab.com) OR CDL-Rockies: heather.marshall@creativedestructionlab.com,Multiple Canadian locations. 9-month program. Relevant to packaging innovation and food preservation technologies.
ACCELERATORS & INCUBATORS,MaRS Discovery District - Food & AgTech Mission,Canada (Toronto),"Major Toronto innovation hub with new FoodTech venture accelerator (2025). Supports 10 Canadian startups in supply chain innovation, emissions reduction, waste reduction, and efficiency. FCC partnership brings industry leaders together.",,,partnerships@marsdd.com,Tyler Hamilton - Senior Director Climate (LinkedIn searchable) OR MaRS Partnerships team through www.marsdd.com/accelerators/,"Address: 101 College Street, Suite 100, Toronto, ON M5G 1L7. Coalition includes Wittington Ventures, S2G Investments, TELUS Agriculture."
ACCELERATORS & INCUBATORS,SKU Accelerator,USA (Austin),"Leading 12-week CPG accelerator for market-validated brands across food, beverage, pet care, and health & wellness. Focus on scaling innovative products with mentorship and retailer connections. Relevant to Challenge C (wellness products).",,,buff.greebe@sku.is,Buff Greebe - Executive Director ([email protected]) OR www.sku.is,Headquartered in Austin. Focus on women and BIPOC-owned businesses. Strong retail network for go-to-market strategy.
ACCELERATORS & INCUBATORS,Alchemist Accelerator,USA (San Francisco/Memphis),"Enterprise-focused accelerator with food tech and healthcare verticals. Memphis East Coast hub adjacent to logistics, supply chain, and healthcare leaders. Supports food preservation technology and B2B food innovation.",,,rachel@alchemistaccelerator.com,Rachel Chalmers - President & Managing Director (LinkedIn searchable) Phone: (415) 527-0158,www.alchemistaccelerator.com. 6-month program. Enterprise monetization focus relevant to B2B food technology.
INDUSTRY ASSOCIATIONS,Good Food Institute,USA (Washington DC),"Leading non-profit accelerating alternative protein innovation. Strategic support for startups, established companies, and meat producers. Focus on cultivated meat, plant-based proteins, and fermentation. Directly relevant to Challenge C.",,,philanthropy@gfi.org,Contact Form: gfi.org/contact OR Philanthropy team: philanthropy@gfi.org Phone: 202-596-2262,"Global presence with offices in USA, India, Europe, Brazil, and Asia-Pacific. Email format: [first].[last]@gfi.org"
COMPANIES,Anterra Capital,Netherlands (Amsterdam) & USA (Boston),"AgTech investment firm with $260M Fund II investing in biotech and digital solutions across agrifoodtech value chain. Focus on ag fintech, crop science, animal health, sustainable packaging, and functional foods.",,,info@anterracapital.com,Adam Anders - Managing Partner (LinkedIn searchable) OR Team page: anterracapital.com/team/,18-person team including 4 partners. Invests in innovations addressing agricultural productivity and sustainability.
COMPANIES,Forward Fooding,UK (London) with offices in Barcelona & Rome,World's first collaborative platform for F&B industry fostering innovation via FoodTech Data Intelligence. Publishes FoodTech 500 ranking. Bespoke scouting services connect corporations with relevant startups for partnerships and acquisitions.,,,info@forwardfooding.com,Alessio D'Antino - Founder (LinkedIn searchable) OR General: info@forwardfooding.com,"Offices: London (36-40 York Way, N1 9AB), Barcelona (Passeig del Mare Nostrum, 15), Rome (Via Marsala, 29H). Max Leveau - COO"
UNIVERSITIES,Cornell University - Food Venture Center,USA (New York),"Leading food science program with Food Venture Center offering business development, product safety, technology transfer and commercialization services. Expertise in food processing, packaging innovation, and product development. Relevant to all three challenges.",,,lmf226@cornell.edu, fdscigrad@cornell.edu,Louise Felker - Food Venture Center (lmf226@cornell.edu) OR General: fdscigrad@cornell.edu Phone: 607-255-2539,Center for Technology Licensing handles IP commercialization. Food Venture Center locations in Geneva and NYC. IFT-recognized program.
UNIVERSITIES,UC Davis - Innovation Institute for Food & Health,USA (California),Internationally recognized food science program. IIFH drives interdisciplinary research and commercialization through strategic partnerships. CAPPS Center focuses on food processing/packaging. Edible film coatings developed here used worldwide. All challenges relevant.,,,mpickard@ucdavis.edu,Marissa Pickard - Innovation Institute for Food & Health (916-599-5551 | [email protected]),Partnership with Nestlé Health Science (Oct 2025). Carlos Alvarez Food Innovation Lab. CAPPS Center partners with Ohio State and NC State.
UNIVERSITIES,University of Guelph - Ontario Agri-Food Innovation Alliance,Canada (Ontario),"Canada's leading food science university. World-class government-university collaboration supporting Ontario's $51B agri-food sector. Focus on commercialization, technology transfer, and innovation. $1.2M in commercialization revenue from Alliance-funded research.",,,favrinst@uoguelph.ca, laurieha@uoguelph.ca,Senior Manager Research Programs (favrinst@uoguelph.ca) Phone: 519-824-4120 Ext. 56725 OR Director (laurieha@uoguelph.ca) Ext. 56655,"Alliance partners: U of G, ARIO, Ontario Ministry. Research Innovation Office handles technology transfer. Contact: www.uoguelph.ca/alliance/about/contact-us"
UNIVERSITIES,Ohio State University - Food Innovation Center,USA (Ohio),"Gateway to university for industry partnerships in food innovation. Director Ken Lee won 2014 IFT Macy award for industry-academic partnerships. Focus on sustainable multi-disciplinary food solutions, packaging research through CAPPS Center.",,,lee.133@osu.edu,Ken Lee - Food Innovation Director (LinkedIn: linkedin.com/in/ken-lee-0b035b74) OR www.fic.osu.edu,Also houses Wilbur A. Gould Food Industries Center (foodindustries.osu.edu). CAPPS Center partner with UC Davis and NC State.
UNIVERSITIES,North Carolina State University - Food Bioprocessing & Nutrition Sciences,USA (North Carolina),"Houses Southeast Dairy Foods Research Center and Center for Advanced Processing and Packaging Studies (CAPPS). Strong focus on aseptic packaging, modified atmosphere packaging, active packaging, and shelf-life studies. Challenge A and B directly relevant.",,,fbns@ncsu.edu,Department Contact: General inquiries through cals.ncsu.edu/food-bioprocessing-and-nutrition-sciences/,"100+ faculty/staff, 500+ students. Multiple facilities including Schaub Hall, Howling Cow Dairy, Plants for Human Health Institute (Kannapolis)."
UNIVERSITIES,Stanford University - Office of Technology Licensing,USA (California),"Premier materials science program with expertise in biodegradable materials, bio-polymers, and advanced packaging. OTL handles commercialization of materials science innovations. Relevant to Challenge A (sustainable packaging).",,,msestudentservices@stanford.edu,General Inquiries: Contact form at otl.stanford.edu OR Materials Science Dept: msestudentservices@stanford.edu Phone: (650) 723-2534,"Materials Science location: Durand Building, 496 Lomita Mall, Suite 102, Stanford, CA 94305-4034"
UNIVERSITIES,McGill University - Macdonald Campus,Canada (Quebec),"Leading food science program at Macdonald Campus. RITA consortium catalyzes innovation and knowledge transfer between research community and Quebec's food processing industry. Focus on food safety, processing, and product development.",,,info.macdonald@mcgill.ca, erin.minnett@mcgill.ca,General Macdonald Campus (info.macdonald@mcgill.ca) Tel: 514-398-7773 OR Graduate Coordinator: Erin Minnett (erin.minnett@mcgill.ca) 514-398-7560,"Address: 21,111 Lakeshore, Ste Anne de Bellevue, Quebec H9X 3V9. RITA supports industry-research partnerships."
UNIVERSITIES,Purdue University - Food Science Department,USA (Indiana),"20+ year Industrial Associates program with strong industry partnerships. Food Entrepreneurship and Manufacturing Institute (FEMI). Focus on food safety, processing technology, and product commercialization. Relevant to all challenges.",,,wellerj@purdue.edu, foodsci@purdue.edu,Jessica Weller - External Relations & Career Services (wellerj@purdue.edu) OR General: foodsci@purdue.edu Phone: (765) 494-8256,"Address: 745 Agriculture Mall Drive, West Lafayette, IN 47907. Extension programs include FEMI, ServSafe, PCQI training."
